Site_number,time,Ensemble,Accoustic_Frequency_kHz,Transducer_radius_m,Beam_angle_degrees,Beam_aspect_ratio,Number_of_Cells,Bin_Size_m,Blanking_distance_m,Instrument_serial_number,CPU_serial_number,Ambient_Noise_Level_Beam_1_Counts,Ambient_Noise_Level_Beam_2_Counts,Distance_to_Bin_1_mid_point_m,Speed_of_sound_m_per_s,Temperature_degC,Pressure_dbar,Distance_to_surface_m,Power_supply_voltage
120001A,17-Feb-2000 14:00:00,343,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 15:00:00,352,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 16:00:00,361,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 17:00:00,370,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 18:00:00,379,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 19:00:00,388,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 20:00:00,397,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 21:00:00,406,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 22:00:00,415,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 23:00:00,424,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,18-Feb-2000 00:00:00,433,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,18-Feb-2000 01:00:00,442,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,18-Feb-2000 02:00:00,451,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.910286,15,0.019492191,0.019492191,12
120001A,18-Feb-2000 03:00:00,460,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.91339,15,0.141457952,0.141457952,12
120001A,18-Feb-2000 04:00:00,469,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.916408,15,0.260021876,0.260021876,12
120001A,18-Feb-2000 05:00:00,478,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.918833,15,0.355300163,0.355300163,12
120001A,18-Feb-2000 06:00:00,487,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.920782,15,0.431882868,0.431882868,12
120001A,18-Feb-2000 07:00:00,496,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.922548,15,0.5012493,0.5012493,12
120001A,18-Feb-2000 08:00:00,505,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.924283,15,0.569455581,0.569455581,12
120001A,18-Feb-2000 09:00:00,514,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.926601,15,0.660501941,0.660501941,12
120001A,18-Feb-2000 10:00:00,523,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.929637,15,0.779778069,0.779778069,12
120001A,18-Feb-2000 11:00:00,532,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.932356,15,0.886637564,0.886637564,12
120001A,18-Feb-2000 12:00:00,541,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934244,15,0.960786854,0.960786854,12
120001A,18-Feb-2000 13:00:00,550,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.935468,15,1.008872105,1.008872105,12
120001A,18-Feb-2000 14:00:00,559,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.936353,15,1.043661234,1.043661234,12
120001A,18-Feb-2000 15:00:00,568,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.937029,15,1.070216283,1.070216283,12
120001A,18-Feb-2000 16:00:00,577,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.937391,15,1.084448509,1.084448509,12
120001A,18-Feb-2000 17:00:00,586,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.937437,15,1.086233222,1.086233222,12
120001A,18-Feb-2000 18:00:00,595,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.937095,15,1.07283088,1.07283088,12
120001A,18-Feb-2000 19:00:00,604,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.936481,15,1.048688711,1.048688711,12
120001A,18-Feb-2000 20:00:00,613,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.935703,15,1.018128422,1.018128422,12
120001A,18-Feb-2000 21:00:00,622,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934734,15,0.980055776,0.980055776,12
120001A,18-Feb-2000 22:00:00,631,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.933931,15,0.948521036,0.948521036,12
120001A,18-Feb-2000 23:00:00,640,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.933262,15,0.922198583,0.922198583,12
120001A,19-Feb-2000 00:00:00,649,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.932875,15,0.907027674,0.907027674,12
120001A,19-Feb-2000 01:00:00,658,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.932856,15,0.906263028,0.906263028,12
120001A,19-Feb-2000 02:00:00,667,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.932908,15,0.908319895,0.908319895,12
120001A,19-Feb-2000 03:00:00,676,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.933,15,0.91191425,0.91191425,12
120001A,19-Feb-2000 04:00:00,685,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.933213,15,0.920290825,0.920290825,12
120001A,19-Feb-2000 05:00:00,694,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.933175,15,0.918803896,0.918803896,12
120001A,19-Feb-2000 06:00:00,703,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.933068,15,0.914579941,0.914579941,12
120001A,19-Feb-2000 07:00:00,712,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.932808,15,0.904368606,0.904368606,12
120001A,19-Feb-2000 08:00:00,721,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.932602,15,0.896278047,0.896278047,12
120001A,19-Feb-2000 09:00:00,730,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.932928,15,0.909109529,0.909109529,12
120001A,19-Feb-2000 10:00:00,739,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.933702,15,0.939522612,0.939522612,12
120001A,19-Feb-2000 11:00:00,748,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934117,15,0.955823671,0.955823671,12
120001A,19-Feb-2000 12:00:00,757,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934398,15,0.966850791,0.966850791,12
120001A,19-Feb-2000 13:00:00,766,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934662,15,0.977237441,0.977237441,12
120001A,19-Feb-2000 14:00:00,775,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934609,15,0.975132813,0.975132813,12
120001A,19-Feb-2000 15:00:00,784,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934497,15,0.970754811,0.970754811,12
120001A,19-Feb-2000 16:00:00,793,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934386,15,0.966371322,0.966371322,12
120001A,19-Feb-2000 17:00:00,802,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934346,15,0.964805454,0.964805454,12
120001A,19-Feb-2000 18:00:00,811,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934288,15,0.962535146,0.962535146,12
120001A,19-Feb-2000 19:00:00,820,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934207,15,0.959335024,0.959335024,12
120001A,19-Feb-2000 20:00:00,829,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.93416,15,0.957496922,0.957496922,12
120001A,19-Feb-2000 21:00:00,838,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934435,15,0.96831296,0.96831296,12
120001A,19-Feb-2000 22:00:00,847,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.934928,15,0.987687016,0.987687016,12
120001A,19-Feb-2000 23:00:00,856,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.935831,15,1.023144356,1.023144356,12
120001A,20-Feb-2000 00:00:00,865,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.937219,15,1.077696899,1.077696899,12
120001A,20-Feb-2000 01:00:00,874,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.93896,15,1.146076912,1.146076912,12
120001A,20-Feb-2000 02:00:00,883,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.941515,15,1.246469619,1.246469619,12
120001A,20-Feb-2000 03:00:00,892,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.944934,15,1.380806949,1.380806949,12
120001A,20-Feb-2000 04:00:00,901,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.949057,15,1.542784245,1.542784245,12
120001A,20-Feb-2000 05:00:00,910,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.953659,15,1.723612355,1.723612355,12
120001A,20-Feb-2000 06:00:00,919,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.958641,15,1.919352766,1.919352766,12
120001A,20-Feb-2000 07:00:00,928,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.963927,15,2.127035462,2.127035462,12
120001A,20-Feb-2000 08:00:00,937,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.969641,15,2.351519583,2.351519583,12
120001A,20-Feb-2000 09:00:00,946,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.975929,15,2.598599898,2.598599898,12
120001A,20-Feb-2000 10:00:00,955,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.982744,15,2.866351591,2.866351591,12
120001A,20-Feb-2000 11:00:00,964,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.988732,15,3.101605259,3.101605259,12
120001A,20-Feb-2000 12:00:00,973,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.993504,15,3.28909933,3.28909933,12
120001A,20-Feb-2000 13:00:00,982,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.997183,15,3.433625003,3.433625003,12
120001A,20-Feb-2000 14:00:00,991,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.999786,15,3.535885676,3.535885676,12
120001A,20-Feb-2000 15:00:00,1000,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1466.000792,15,3.575436972,3.575436972,12
120001A,20-Feb-2000 16:00:00,1009,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1466.000684,15,3.571183915,3.571183915,12
120001A,20-Feb-2000 17:00:00,1018,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.999986,15,3.543775095,3.543775095,12
120001A,20-Feb-2000 18:00:00,1027,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.998303,15,3.477644227,3.477644227,12
120001A,20-Feb-2000 19:00:00,1036,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.995989,15,3.38671739,3.38671739,12
120001A,20-Feb-2000 20:00:00,1045,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.993337,15,3.282515085,3.282515085,12
120001A,20-Feb-2000 21:00:00,1054,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.990647,15,3.176841736,3.176841736,12
120001A,20-Feb-2000 22:00:00,1063,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.987829,15,3.066122823,3.066122823,12
120001A,20-Feb-2000 23:00:00,1072,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.98546,15,2.973039878,2.973039878,12
120001A,21-Feb-2000 00:00:00,1081,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.98329,15,2.887805345,2.887805345,12
120001A,21-Feb-2000 01:00:00,1090,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.981213,15,2.806168433,2.806168433,12
120001A,21-Feb-2000 02:00:00,1099,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.979122,15,2.724049841,2.724049841,12
120001A,21-Feb-2000 03:00:00,1108,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.977654,15,2.6663492,2.6663492,12
120001A,21-Feb-2000 04:00:00,1117,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.976357,15,2.615401069,2.615401069,12
120001A,21-Feb-2000 05:00:00,1126,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.975575,15,2.584691261,2.584691261,12
120001A,21-Feb-2000 06:00:00,1135,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.975065,15,2.564632552,2.564632552,12
120001A,21-Feb-2000 07:00:00,1144,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.975218,15,2.570654812,2.570654812,12
120001A,21-Feb-2000 08:00:00,1153,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.976213,15,2.609737464,2.609737464,12
120001A,21-Feb-2000 09:00:00,1162,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.978204,15,2.687953386,2.687953386,12
120001A,21-Feb-2000 10:00:00,1171,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.981325,15,2.810590608,2.810590608,12
120001A,21-Feb-2000 11:00:00,1180,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.985192,15,2.962521862,2.962521862,12
120001A,21-Feb-2000 12:00:00,1189,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.987536,15,3.054622108,3.054622108,12
120001A,21-Feb-2000 13:00:00,1198,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.989876,15,3.146564179,3.146564179,12
120001A,21-Feb-2000 14:00:00,1207,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.991311,15,3.202917561,3.202917561,12
120001A,21-Feb-2000 15:00:00,1216,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.992082,15,3.233214944,3.233214944,12
120001A,21-Feb-2000 16:00:00,1225,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.992422,15,3.246580164,3.246580164,12
120001A,21-Feb-2000 17:00:00,1234,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.992911,15,3.265789605,3.265789605,12
120001A,21-Feb-2000 18:00:00,1243,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.992987,15,3.268766092,3.268766092,12
120001A,21-Feb-2000 19:00:00,1252,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.99299,15,3.268908666,3.268908666,12
120001A,21-Feb-2000 20:00:00,1261,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.992994,15,3.26905123,3.26905123,12
120001A,21-Feb-2000 21:00:00,1270,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.992998,15,3.269193799,3.269193799,12
