Site_number,time,Echo_Intensity_Counts_cell_1,Echo_Intensity_Counts_cell_2,Echo_Intensity_Counts_cell_3,Echo_Intensity_Counts_cell_4,Echo_Intensity_Counts_cell_5,Echo_Intensity_Counts_cell_6,Echo_Intensity_Counts_cell_7,Echo_Intensity_Counts_cell_8,Echo_Intensity_Counts_cell_9,Echo_Intensity_Counts_cell_10,Echo_Intensity_Counts_cell_11,Echo_Intensity_Counts_cell_12,Echo_Intensity_Counts_cell_13,Echo_Intensity_Counts_cell_14,Echo_Intensity_Counts_cell_15,Echo_Intensity_Counts_cell_16,Echo_Intensity_Counts_cell_17,Echo_Intensity_Counts_cell_18,Echo_Intensity_Counts_cell_19,Echo_Intensity_Counts_cell_20,Echo_Intensity_Counts_cell_21,Echo_Intensity_Counts_cell_22,Echo_Intensity_Counts_cell_23,Echo_Intensity_Counts_cell_24,Echo_Intensity_Counts_cell_25,Echo_Intensity_Counts_cell_26,Echo_Intensity_Counts_cell_27,Echo_Intensity_Counts_cell_28,Echo_Intensity_Counts_cell_29,Echo_Intensity_Counts_cell_30,Echo_Intensity_Counts_cell_31,Echo_Intensity_Counts_cell_32,Echo_Intensity_Counts_cell_33,Echo_Intensity_Counts_cell_34,Echo_Intensity_Counts_cell_35,Echo_Intensity_Counts_cell_36,Echo_Intensity_Counts_cell_37,Echo_Intensity_Counts_cell_38,Echo_Intensity_Counts_cell_39,Echo_Intensity_Counts_cell_40,Echo_Intensity_Counts_cell_41,Echo_Intensity_Counts_cell_42,Echo_Intensity_Counts_cell_43,Echo_Intensity_Counts_cell_44,Echo_Intensity_Counts_cell_45,Echo_Intensity_Counts_cell_46,Echo_Intensity_Counts_cell_47,Echo_Intensity_Counts_cell_48,Echo_Intensity_Counts_cell_49,Echo_Intensity_Counts_cell_50,Echo_Intensity_Counts_cell_51,Echo_Intensity_Counts_cell_52,Echo_Intensity_Counts_cell_53,Echo_Intensity_Counts_cell_54,Echo_Intensity_Counts_cell_55,Echo_Intensity_Counts_cell_56,Echo_Intensity_Counts_cell_57,Echo_Intensity_Counts_cell_58,Echo_Intensity_Counts_cell_59,Echo_Intensity_Counts_cell_60,Echo_Intensity_Counts_cell_61,Echo_Intensity_Counts_cell_62,Echo_Intensity_Counts_cell_63,Echo_Intensity_Counts_cell_64,Echo_Intensity_Counts_cell_65,Echo_Intensity_Counts_cell_66,Echo_Intensity_Counts_cell_67,Echo_Intensity_Counts_cell_68,Echo_Intensity_Counts_cell_69,Echo_Intensity_Counts_cell_70,Echo_Intensity_Counts_cell_71,Echo_Intensity_Counts_cell_72,Echo_Intensity_Counts_cell_73,Echo_Intensity_Counts_cell_74,Echo_Intensity_Counts_cell_75,Echo_Intensity_Counts_cell_76,Echo_Intensity_Counts_cell_77,Echo_Intensity_Counts_cell_78,Echo_Intensity_Counts_cell_79,Echo_Intensity_Counts_cell_80,Echo_Intensity_Counts_cell_81,Echo_Intensity_Counts_cell_82,Echo_Intensity_Counts_cell_83,Echo_Intensity_Counts_cell_84,Echo_Intensity_Counts_cell_85,Echo_Intensity_Counts_cell_86,Echo_Intensity_Counts_cell_87,Echo_Intensity_Counts_cell_88,Echo_Intensity_Counts_cell_89,Echo_Intensity_Counts_cell_90,Echo_Intensity_Counts_cell_91,Echo_Intensity_Counts_cell_92,Echo_Intensity_Counts_cell_93,Echo_Intensity_Counts_cell_94,Echo_Intensity_Counts_cell_95,Echo_Intensity_Counts_cell_96,Echo_Intensity_Counts_cell_97,Echo_Intensity_Counts_cell_98,Echo_Intensity_Counts_cell_99,Echo_Intensity_Counts_cell_100,Echo_Intensity_Counts_cell_101,Echo_Intensity_Counts_cell_102,Echo_Intensity_Counts_cell_103,Echo_Intensity_Counts_cell_104,Echo_Intensity_Counts_cell_105,Echo_Intensity_Counts_cell_106,Echo_Intensity_Counts_cell_107,Echo_Intensity_Counts_cell_108,Echo_Intensity_Counts_cell_109,Echo_Intensity_Counts_cell_110,Echo_Intensity_Counts_cell_111,Echo_Intensity_Counts_cell_112,Echo_Intensity_Counts_cell_113,Echo_Intensity_Counts_cell_114,Echo_Intensity_Counts_cell_115,Echo_Intensity_Counts_cell_116,Echo_Intensity_Counts_cell_117,Echo_Intensity_Counts_cell_118,Echo_Intensity_Counts_cell_119,Echo_Intensity_Counts_cell_120,Echo_Intensity_Counts_cell_121,Echo_Intensity_Counts_cell_122,Echo_Intensity_Counts_cell_123,Echo_Intensity_Counts_cell_124,Echo_Intensity_Counts_cell_125,Echo_Intensity_Counts_cell_126,Echo_Intensity_Counts_cell_127,Echo_Intensity_Counts_cell_128
120001A,23-Feb-2000 14:00:00,192.7821931,192.1962494,196.3306157,190.0898813,191.0101877,188.1933335,182.8090158,182.1679608,179.0038984,179.1383133,176.0398959,172.5301542,173.4796964,171.2972519,170.5881044,164.8666023,165.9519707,160.2601668,163.1347616,159.7263474,155.8198076,155.1098625,158.8313032,152.6178414,155.615878,151.0961698,151.6868857,152.2823618,148.3458399,147.2702733,148.5325279,143.5290441,146.2073336,144.0415839,141.5540349,142.3313544,140.6440269,139.7692384,138.2148409,139.3187241,138.150825,137.5382214,136.0912515,134.4061336,132.0847513,132.7736869,133.8359287,129.74713,127.3576061,131.1171855,126.3129571,128.5663823,127.9036458,127.5728685,126.3832468,123.3355882,123.4525044,125.4449918,121.3837951,119.1251916,123.0865361,117.4115125,119.3287243,119.4098807,116.4025643,117.2030062,116.1226798,117.7718725,111.7846198,115.6990639,114.4734739,113.4509792,113.8200989,110.4339136,107.7231004,109.0482465,109.4627463,108.4684813,106.7032466,107.7022637,105.1107396,104.3914206,106.4003905,105.5492351,103.3244935,103.8963054,99.09097273,103.2153094,102.6822818,98.00405655,100.4672391,98.07169747,97.92252394,96.44699217,98.69926748,95.02906293,95.02410283,96.2227749,93.40110379,94.18652018,92.9105819,91.06908654,90.22428466,87.95893924,89.18124382,86.73085114,89.08792468,90.90621232,88.11816546,88.12387405,88.00218303,85.73819688,82.89213499,81.65050179,85.5664481,83.46606157,85.274936,81.27208383,82.64101671,81.01218278,81.63864425,81.12844919,81.75594326,80.22446493,76.96941381,77.75195262,76.10610108,75.6114883
120001A,23-Feb-2000 15:00:00,194.0280537,193.217653,194.2794071,193.2182168,191.1016699,185.3913245,187.2498741,182.1411993,181.0064128,177.3382348,174.7479364,176.1297256,169.5598142,170.6014985,166.6172296,167.358988,166.5116464,163.217548,160.1350256,161.3506096,161.2737073,157.9261556,153.9591408,152.5252144,155.0571126,150.7827665,149.0400664,148.5813189,149.8721269,147.5633856,145.1994276,147.6531941,143.7025204,144.173296,145.1485126,142.8412885,140.0829953,141.2168832,140.6792532,137.8528432,139.2897678,137.4867183,133.1580428,134.2451096,133.0396442,133.547858,132.3479668,130.3728707,131.4391773,130.0006301,126.2777605,124.0621848,124.4265086,123.5263214,124.0117311,124.0843326,122.2754889,122.8669825,123.178982,121.863662,121.4320839,121.3554079,117.6457302,119.5800997,116.3960932,116.1597113,112.9080256,113.1730556,114.2293823,112.9335311,114.8748069,111.4342324,112.414351,110.0740503,110.4572186,110.6429537,107.322272,109.0958566,107.3856572,107.322088,103.6402907,105.5204717,107.1015404,102.0326051,103.4399154,101.1867304,102.8800771,102.1230705,100.0710161,100.3192971,98.10903774,98.33071429,100.166072,97.43314834,94.85188176,93.90943602,95.89375447,96.81022438,95.76672887,95.58394794,92.42378461,92.29140459,93.2226579,88.81331423,93.07781013,90.7066263,89.71438596,85.02263287,87.75073879,88.07281284,86.89351024,84.72810603,85.7838481,80.51080085,82.85235985,84.28467925,83.16473115,81.37888327,82.57614547,80.34732656,79.23440263,81.83152067,81.20693965,79.36873474,77.67660659,80.05221197,74.4296951,74.2051793
120001A,23-Feb-2000 16:00:00,193.5945656,196.6874938,196.8080739,192.0470663,192.7325561,187.9155912,186.2134918,184.016267,180.4790295,179.0604087,176.8639264,169.7519377,173.6614339,168.7750612,168.4325842,165.3275883,163.9260386,163.0423244,163.5884425,159.3246139,156.4721915,157.9430159,154.9347578,155.4460322,154.6568782,151.8216686,151.7330405,151.0842809,147.2527692,149.1387338,147.656056,146.3717473,142.0522957,144.4468407,142.9914915,139.3483503,140.1723271,140.5720122,141.2257849,138.1692575,137.1454387,135.2213515,135.5605453,130.8803068,135.4118182,134.7257034,129.5183536,130.694425,133.252412,129.2131414,130.7892235,126.8209621,126.704446,127.1429122,123.2372906,126.0837175,123.5700619,122.5871415,120.7804879,122.2875655,123.5429948,120.4958379,119.1995562,118.2188739,119.4933253,115.5951214,114.6609159,115.2966864,115.585478,112.3478952,109.9744087,114.1398262,112.1471587,112.2896043,110.3911448,106.4372001,109.2528714,106.5281211,108.4686399,108.8545591,104.7130075,105.4141093,101.0905203,100.596976,101.4321993,103.8283079,101.2346952,101.7833486,102.3293846,96.20033635,98.6814645,96.87200445,97.47374764,93.19373465,93.46479872,95.3769157,93.54690259,91.20120932,93.59022442,95.86465325,92.28771994,90.22210792,88.34502122,93.17499518,92.55374351,91.2749836,89.8610279,88.31287747,89.25888914,85.07623932,89.05799367,84.04463681,84.21193057,83.52809909,84.22514197,81.86210749,82.13765326,81.32743255,81.12008605,83.40196552,81.05051303,78.56634371,81.29501552,78.72213273,78.74695494,74.75682679,78.88679451,72.99756202
120001A,23-Feb-2000 17:00:00,190.1948104,194.7018383,194.1737224,193.4964662,188.9432528,187.7679901,182.6853574,181.9851176,179.3795227,176.9484766,177.0889233,173.4353194,168.4318141,169.6686197,168.0029077,167.2977305,166.0095019,161.6555706,163.0146341,163.2044625,158.5490125,158.8938051,157.0938833,158.4382556,154.2943812,154.9142871,151.90469,150.9387701,146.2431083,148.1320942,146.2459128,146.3288961,145.5576247,145.6359995,140.9124938,141.5031399,143.8608604,141.3935371,138.1641616,139.125079,136.0302723,136.0261524,135.1479045,135.4238018,133.5927738,129.7402603,132.6583602,127.6975023,131.2559668,128.9379364,126.1719325,128.053568,127.5232504,125.5382766,124.8334213,122.364383,122.3324609,123.544753,122.692507,120.0813024,121.0774183,121.1378721,120.5578164,116.5077706,115.102537,118.0617122,112.4207388,113.7671251,113.6942328,113.2313963,112.1684063,112.0951924,111.0987063,109.0299268,113.0089557,109.6602448,106.9909392,108.0389182,106.0709023,106.4073759,105.5743374,104.8634386,104.3590982,102.0317993,104.4587275,102.0175613,102.5455537,102.5497872,102.7197433,98.63422886,97.47640886,96.3952714,97.81084252,96.24285283,92.99468629,99.05569952,93.86683067,93.38771238,92.26673213,91.20653111,89.87562366,89.03563073,93.26059196,92.11758696,90.25967042,87.45865014,87.98159083,90.79157608,88.46621875,83.67929974,85.23782845,86.46267722,83.89839662,82.07093473,80.93783113,83.95362838,82.19060016,80.09103451,80.98997641,80.91982828,80.03780268,79.68692699,78.30031059,78.79371533,79.72719259,79.94712247,76.53647192,76.99114914
120001A,23-Feb-2000 18:00:00,193.2365213,195.4599397,195.9889393,193.229584,190.8508139,190.5675759,185.9801548,182.946789,183.3519361,178.727613,177.0390379,174.6080185,168.5827512,169.7562664,165.453823,167.873532,166.5690441,162.2225492,160.1831718,160.0147964,160.7317921,158.4998137,155.4062001,157.7885812,152.5665849,153.0267703,150.9751714,152.8224421,152.1367866,147.2573399,147.7307274,147.4254078,147.3170607,144.2689703,141.7465002,143.6313358,140.638502,142.0986825,141.5569418,136.6387547,140.4147569,132.7414385,135.9452456,137.1245973,133.8065922,132.8416798,129.9673262,133.7087758,132.8993209,132.2926249,130.6494912,128.5571403,127.391151,127.041245,125.9750023,123.3680626,125.6855633,125.3202981,121.2957164,122.8891497,118.4708386,119.5759343,118.9061869,120.3110945,119.4082884,119.1922152,116.8094195,114.1775165,115.6156458,116.617119,111.8604796,113.02354,113.4312713,111.5541107,111.4846224,108.7398974,111.2779388,106.4511741,107.034387,107.8105189,109.0569987,101.9746783,104.7009312,101.446821,100.7440523,100.9616987,103.5206824,100.9770818,99.86149957,100.3033448,95.98209747,98.27328334,96.8552871,96.75843024,96.83207713,93.88638743,97.20121508,92.42862743,95.38569587,93.75664935,92.89275148,92.5291002,88.12111901,90.25737203,90.94736537,90.13136151,87.47944179,87.47239666,85.57730767,90.38685574,84.36990133,86.20819155,83.11612246,86.15701471,84.69036809,81.28981082,83.35347019,81.69992437,80.29185755,82.5706592,81.74487725,80.61983216,76.56011012,79.90720629,77.01697814,76.98839461,78.72891005,77.07204182
120001A,23-Feb-2000 19:00:00,194.3650539,195.1086627,195.0733311,193.0956557,190.0261898,188.3806011,186.769801,182.3881937,178.2883839,180.9148147,173.8067214,172.9308834,171.1489773,172.3614376,166.648882,167.4280183,165.9305967,165.5628114,163.4565121,160.2582914,158.64557,157.7023787,156.9199258,154.9412816,155.5393886,152.483633,151.5001315,153.0190914,151.9429799,146.2655561,146.6421404,145.9257898,147.2051839,147.4176716,141.8346518,144.1876575,140.7429021,140.195071,141.6924225,138.6962241,136.2572992,137.9011803,133.5188554,134.3312242,136.4008824,133.2521945,133.8709089,131.2827547,131.1269648,130.2283301,129.0739734,129.9540969,129.4770632,128.6705877,123.8666157,125.4925214,120.1721593,123.592482,124.1801713,121.1340228,118.7610196,118.1158962,116.4781539,118.0209825,118.9273332,116.0479535,114.1657337,117.9872522,114.0480005,114.0033593,110.7744692,112.9537715,108.3772783,109.1857289,112.8989159,109.0467301,106.3904058,106.736056,106.6506389,107.528838,106.4477072,106.5800338,105.54229,107.0224608,102.9746269,104.7526987,101.6369208,101.6554121,101.2340906,101.6076948,101.2377181,97.02896689,97.7294116,98.9751059,93.49150225,93.14362228,95.02126863,93.91358458,94.83672316,93.0766058,91.29394255,91.93611198,90.17603193,90.44535653,90.39958429,91.13138701,90.94690833,90.36253744,86.89647424,87.48201687,85.92608891,84.78768039,83.24168798,86.41108868,85.19589094,80.25168797,82.06277058,83.9998514,80.80597271,83.04982167,79.47440337,79.21500782,81.611078,76.19823418,79.33483777,76.2669052,75.56127109,77.863539
120001A,23-Feb-2000 20:00:00,195.1351419,195.3174942,194.7331047,190.5004917,193.6555263,187.9515426,188.4619056,182.4514416,181.705269,179.4957624,176.6378575,174.5497113,171.197087,172.0109952,165.2430879,167.7281835,166.0666647,164.3626834,163.1541418,160.3482521,158.7214733,159.3662366,155.5516629,156.9972951,153.1430435,152.5124438,151.0582324,150.4450269,149.3134918,148.8896397,148.6250347,144.6374303,145.9052061,145.0737001,144.8185894,142.6626156,139.5101194,141.8497021,141.5792178,137.170271,140.7244437,135.0145092,133.6141556,136.3050655,135.9217392,131.9687129,132.6232606,133.1183066,131.6696305,129.07158,128.6776575,128.1536886,124.8875554,127.3484106,127.8144384,125.2800731,121.1880175,124.4715406,120.6067463,120.7822406,117.298085,119.3321854,119.9025049,119.1788537,117.5871463,116.8617224,118.8164763,117.9342586,114.0364705,112.5429885,115.0481843,112.9485813,112.3732185,110.3098122,111.555095,109.8954011,109.4694845,106.6176422,105.4536436,107.2457659,105.4022392,104.1818298,101.9366702,106.3918177,103.6682112,103.6557712,102.144942,101.4403764,103.0965364,101.428666,100.5494648,96.66160228,99.101025,97.56740377,94.18847255,97.15331535,95.5181496,96.66530581,93.57477567,95.51680992,93.51975047,93.24855966,90.23487563,89.01444999,88.91640786,89.91160612,89.8999672,88.02371496,87.46048919,89.64578567,84.5698113,85.77112339,83.25263137,88.06754255,83.97379865,84.42023379,81.68868385,82.7428464,81.85453648,78.60637683,82.52507617,80.80813852,79.10463003,79.59928083,77.66738358,75.46068639,78.4007503,79.1557192
120001A,23-Feb-2000 21:00:00,194.5945319,196.1503863,195.4958046,192.8025509,193.7309924,186.3753325,186.4117376,185.5435362,179.9825815,178.5528372,177.5454753,173.4605616,172.8248062,167.6935095,166.0539285,167.5328095,165.8668443,160.8676332,165.6412278,160.6951267,160.2582214,159.4883389,158.0660914,156.4488989,154.3986195,151.1004694,154.4572745,151.2392546,149.8255072,148.0941201,145.9340352,143.9670207,144.7434029,144.6168512,143.7948805,142.0110801,142.3740116,141.2841395,137.0386585,138.647763,139.9908098,134.3893594,138.1716849,135.4349172,132.7482312,133.1607165,132.325997,130.9638817,129.6905212,128.8705018,128.1760647,126.322173,125.6450288,124.1271154,125.1634513,124.2645661,124.3499608,123.5063329,119.9553335,121.5513601,120.3958158,117.3454275,119.2098956,117.992413,116.5928209,116.9933197,116.7871242,116.641364,113.3609701,111.8057694,112.4443742,112.9646676,112.891972,109.2496473,109.0437373,111.1110497,111.008056,106.634617,108.9519541,106.4722004,106.0153957,106.2108947,105.9660668,103.6992305,105.3561348,102.6719381,101.296436,103.4787674,98.00846379,100.9598523,102.4830861,96.68404795,95.05220035,95.26963099,99.3543065,95.33751104,94.28517727,94.98386731,95.50034574,91.66652796,90.96101782,94.81520865,90.31288441,90.50507768,90.26882957,91.30755942,88.5697201,87.76474097,89.54242028,87.48690071,87.83361191,87.40561865,87.69872682,86.56838662,85.58484527,82.47170902,83.10514651,81.80791951,80.1639419,81.47094679,80.7084171,78.30083818,82.26585872,81.14372909,78.21791308,78.27818855,77.19263732,76.92637409
120001A,23-Feb-2000 22:00:00,191.6416032,195.2949657,192.5787454,192.9488439,192.7858921,186.831988,186.8797825,182.424989,181.8778134,176.3630708,176.2882623,176.3919695,173.8096392,170.2854881,167.3091334,168.3084818,168.1799406,164.6375309,163.9935955,161.3630072,159.0709411,160.3230658,157.9288633,153.9378559,157.4320834,152.9926634,151.6732497,152.1754908,149.0037273,148.4200139,147.9451045,146.9563733,142.6730876,146.1515633,145.6042203,142.6445414,141.3777407,138.9907673,140.9956118,138.8102413,139.2149703,135.0118229,135.5630256,135.6733748,134.3269609,134.7083594,132.5014814,134.0488887,132.447724,130.4850685,129.1829029,128.012387,126.9843677,123.942835,128.1069309,122.7769863,126.9583605,123.8807479,125.831903,122.7964359,118.970181,120.1744177,121.1808493,118.3173015,119.2522548,115.8193934,115.9554604,114.8786335,116.8494183,117.0760368,113.5153101,109.8020888,112.1204509,112.7507316,111.6651539,108.2070744,108.0734735,108.1078806,109.0608429,108.41469,105.6627778,106.1859814,105.4170678,105.2199707,104.5342012,103.5454942,99.78565042,100.9002576,100.7810485,101.5769598,101.4823613,97.67894502,101.0814344,97.90918121,99.10733091,97.71028355,95.31237981,94.6700617,94.41106544,91.55156917,92.41438101,88.70415318,91.51187998,92.28421998,87.77072827,88.96730833,88.78709221,88.87937545,89.59965391,86.96438918,88.03079296,85.95601887,84.179928,85.25350727,82.1363916,84.06537811,83.50553484,83.43662148,77.99573702,81.19520982,77.46249913,80.53783503,79.45180084,76.58318861,77.93312796,76.88624681,77.81118367,73.90926421
120001A,23-Feb-2000 23:00:00,196.8758968,194.6895422,195.6482539,193.9059261,191.4303406,188.859946,188.0768456,182.971515,181.1226054,176.013885,179.1960554,172.2291165,173.9233379,171.8814634,168.6196013,168.2906292,166.2567433,166.8245408,162.4641198,163.0620924,160.9472067,159.186455,156.0169918,156.7680251,154.7671941,150.2515667,150.6173734,150.3867646,148.9547127,148.7413036,148.5454443,146.6111368,148.128781,145.2182375,144.1145558,144.6331442,140.8253328,139.0333567,141.0527895,138.0500823,138.2779472,137.338147,139.1888938,132.6083844,133.0585064,133.9346595,134.071285,134.4176034,133.4586318,130.1424951,126.1792734,132.0750718,126.4039476,124.0196384,125.320967,124.3589482,122.4665158,121.1266634,124.3244672,122.2435707,124.5034162,122.3765844,120.6681295,120.8480018,116.3041672,116.9601303,119.3413295,116.9877338,115.2438532,111.9500847,113.532502,111.9193135,111.2977059,113.6428488,111.288961,109.3285724,108.1273647,109.9377983,106.8112176,109.0746691,107.7941124,106.787484,103.6687696,103.175236,102.045353,105.0187697,101.8582574,101.8388259,99.83961942,99.49548645,99.60225311,99.63393867,100.8139139,96.33468014,96.65350263,96.93153303,95.70540829,94.83960406,94.45212897,94.1991179,95.52332011,93.14575924,88.64132577,92.65587493,88.27256467,92.13689212,92.45967167,87.36659143,89.330529,85.80045521,83.11397297,86.2586964,85.82537118,81.02515158,84.84350941,83.07983181,83.32113049,82.44293252,82.62179107,82.88191436,81.39808053,78.36855194,79.20581184,75.39344794,74.48179512,76.41363295,76.60849798,75.56011296
120001A,24-Feb-2000 00:00:00,192.3491718,194.9487372,194.525305,190.763795,193.7668824,189.5095726,185.8856059,184.1446004,182.4183547,176.3199843,176.369233,176.7884208,170.3040751,169.984915,167.6984273,166.1197544,165.7696418,164.080091,160.4944166,158.9029647,160.5308249,160.0561544,159.1574077,155.9877138,155.2903436,153.6204743,149.3639517,152.3113511,149.8904533,150.150316,147.7962416,149.7158327,147.6867937,143.5165574,143.1810354,143.1584713,141.2718723,137.6166839,139.6892627,141.6004101,135.0108225,137.6020208,135.4541338,136.7999087,133.1442965,133.8643788,134.8815963,131.4599371,131.497534,131.7197888,128.9971057,128.8081396,127.3510979,126.4929308,126.2392518,125.5879541,125.8012335,126.6542313,123.6042239,123.6118555,122.0014811,122.3118459,118.8649206,120.5272756,119.4438626,115.8477237,116.7616914,118.9034343,114.8409174,113.9561,111.6618578,113.2403624,111.0547225,112.9184613,110.3732694,109.1052743,108.1186552,109.9585038,108.4619032,107.8749989,107.6143434,105.8306106,103.8053469,106.0542255,106.3430153,102.6997878,103.3113142,98.27257083,101.3138996,98.46658129,102.1484479,99.41262208,95.39897572,97.16998114,97.89332498,97.16854159,96.15741792,94.05684309,93.73485534,92.06369963,93.66249197,95.4997524,91.79734413,89.32796946,92.87581224,89.16870549,85.8896914,87.33640314,87.53166764,86.2936727,85.6023772,87.98848161,82.68115745,83.14834624,83.35806506,81.20905407,79.97516471,79.65996578,83.21915223,81.8724215,78.39740607,82.33172895,79.04441932,77.64835239,79.68886565,78.14460149,76.00700326,79.26058576
120001A,24-Feb-2000 01:00:00,193.3041637,198.6552722,195.3998813,194.6779684,193.1599376,188.8177889,185.5525204,183.1144683,182.5473234,180.2314828,177.271126,174.7961934,173.2821001,173.0569842,172.8527662,165.4707523,167.6529382,165.4408277,163.1223643,164.2855733,161.8973066,155.2348554,159.1741808,156.0553568,157.592035,154.6850433,155.2480031,150.2677092,147.4836261,148.06035,148.1617011,145.5702908,145.801295,145.0448817,143.2543264,144.1871666,141.412395,142.0621199,140.7655818,141.0592568,139.054801,134.4596303,136.3027904,136.5947416,131.3351806,134.6882177,133.3679996,134.5258259,132.5601674,131.6508568,131.6053018,128.7279993,130.2263938,127.0702424,128.4159111,126.7274822,126.0663964,124.7362271,121.7737282,123.2422166,122.1937228,120.7441484,121.5848973,117.8131186,120.1428429,117.5048956,116.2571438,116.8598209,115.8450687,114.3461408,116.3002268,109.6347634,110.2418484,111.2586223,109.9155811,109.6685847,108.2638375,109.1993699,106.9834983,104.5313312,105.169799,105.8237239,106.983478,105.6210068,104.4999071,106.2990195,104.2764034,101.184178,101.738047,100.9216454,101.6202179,101.4421871,97.86595811,98.84405481,95.16751055,95.17223505,93.4874298,96.00609253,94.7747208,92.90678535,94.43543776,94.1827458,91.49231264,92.22610287,87.8325096,88.78009216,87.10867407,90.3996535,88.86028728,87.01010245,88.79636027,84.92763189,87.25529736,84.74024723,83.69431433,84.94445593,82.85654648,81.58845118,83.28224596,80.78187432,79.33707322,81.88363461,79.17125511,76.19488826,79.16269182,77.81636652,79.47762581,74.40806357
120001A,24-Feb-2000 02:00:00,195.928245,199.563249,197.0523718,194.0931977,192.394248,188.0533845,186.5938344,184.0099987,182.1479631,180.019969,173.0569158,177.7163332,172.4373598,167.4083886,170.3760995,170.0545512,166.7993487,161.5633093,159.7651566,164.277374,158.9172413,160.4882233,158.5082676,157.07927,157.5972641,153.5286762,151.753139,153.715671,151.8286626,151.3807604,151.0793313,147.8016701,145.3235858,142.5816021,144.7755497,143.9737594,138.9721674,140.6167929,141.6571449,140.3145808,139.2785122,140.0679246,138.7376986,138.6745378,132.193152,135.1711067,134.8923422,133.3718014,132.8125331,129.0131914,128.62719,128.9455138,127.8904398,126.3599861,127.3741533,123.4266669,127.3183154,125.0129361,120.8416936,121.5315832,121.5918848,117.9847098,120.8656067,116.7297835,118.4943392,118.9311982,114.8749329,113.974573,114.3451937,114.9485505,113.2108489,110.5188796,110.9908265,109.0958272,110.7433814,106.7754344,109.2637802,106.1718318,111.1976871,106.7490536,107.8428993,104.9496816,103.7495597,106.0937871,105.8118003,102.746488,101.6991678,104.4366142,101.6620895,99.34761293,98.21205195,98.65464442,99.50173947,98.21844233,97.49756529,96.75726595,96.46923626,93.39924852,96.9145189,90.62418874,91.55393918,92.3449639,94.27933451,87.43765197,92.62817002,90.71529064,87.27913002,88.6446951,86.99123486,87.8196637,89.96371618,88.90015454,87.9345142,84.14100651,84.01225877,84.47956221,83.09787902,82.00887308,80.26673698,80.51142372,80.66824984,77.964785,80.44752414,81.47053464,80.10557407,76.85308873,78.74642808,75.00389752
120001A,24-Feb-2000 03:00:00,197.1277263,196.9960655,198.19237,191.5507525,191.8057399,189.6085641,189.6870315,182.5496288,181.3617283,181.4089225,177.9847124,174.2272868,171.4294612,171.7150467,170.5882817,171.0002223,166.2087629,164.6345889,164.794307,161.7410699,163.6626595,157.2244227,156.0610438,155.7950509,155.0086542,155.6423763,152.8442579,151.6835846,152.0861249,146.2667548,147.9879354,147.5513471,143.1433396,143.3553366,143.9696042,140.2177627,140.4456629,138.9081221,137.8268389,140.1673386,138.152512,140.3581234,135.3788682,135.6627382,134.0018576,132.4348879,136.2046847,129.8661431,132.3356446,129.5943411,128.3829856,126.7498347,129.9818564,125.2896029,125.8278434,123.983321,123.9881221,121.7718463,124.3992328,121.9709822,124.3591618,119.7111082,120.1154025,118.9335941,117.4759039,118.4293054,116.1925623,117.966259,117.0766347,116.1062702,112.6185349,114.0878964,113.2130898,111.6119439,112.2207949,107.8876317,111.6385867,109.5257909,108.8763555,105.2255755,106.2927178,105.2601781,107.3802427,106.0240497,102.6524916,101.4186999,99.19659182,102.2843297,101.7582348,103.1850644,97.95502133,99.22696342,97.69551532,99.65565897,93.95041046,97.58884652,96.56715317,94.74866813,96.63627923,92.42011411,95.08048043,92.17650193,92.06911521,93.01068139,92.05138488,90.72837918,92.69739466,89.09869733,89.90518785,84.78117484,87.96894029,82.53179147,87.23442004,85.0462581,82.65708596,85.39443978,81.58145547,82.66953699,80.61554254,79.20182745,81.34538873,79.4431586,81.47918006,80.78568956,81.16081061,79.11250228,76.68148404,76.91334946
120001A,24-Feb-2000 04:00:00,195.3009297,196.3532759,198.629573,197.1217165,190.4063992,187.785576,186.4602279,186.3751527,184.0376033,176.1315945,176.598568,176.8509568,173.40703,173.7448734,167.8101467,165.0963412,167.4612832,166.4140909,160.0104797,162.3276674,159.0164458,160.4467164,156.3761669,157.3468443,155.9644502,157.1583861,153.5238331,151.2890116,148.4776224,151.1262992,147.7903264,143.3303738,146.3272826,148.0358566,144.9143339,145.2171636,138.5786055,140.4082013,139.9410657,137.726821,138.9441564,138.5840207,136.8936826,135.3756146,135.0353872,132.0795728,136.0489234,128.6360148,131.4962389,129.550903,129.4478758,129.3818262,127.387567,125.1588361,128.6383623,127.9993589,125.4426203,123.5980028,120.6285185,119.9147939,119.0399752,122.6805097,119.7727363,118.7527929,116.5748713,116.4629562,115.7264196,117.9126556,113.6752967,114.0013381,115.2382021,113.433768,110.2224068,112.791978,113.0349238,112.1561863,109.3538969,108.7592973,110.5673963,105.3963958,107.040711,108.1240788,102.8767574,103.1262838,105.9763519,102.9526592,104.5291048,98.48217931,102.3399788,102.4606913,103.2008069,97.88095856,98.10744422,95.59563943,95.77663916,95.22169265,94.27400316,96.70331875,93.34459815,93.57755233,94.01325903,95.14568765,92.8766137,89.27171784,88.07140438,92.63670562,88.27499502,90.00597038,89.30383698,86.47782642,84.97019592,85.75051555,88.778971,83.46307271,83.11218608,84.07925112,84.21575223,81.03808786,81.84608659,78.3404434,79.9495251,79.97646392,79.82778713,81.34037622,80.83529546,76.464205,77.33999063,76.20598909
